CustomerAlternateKey	FirstPurchase	First	Middle	Last	Email	Phone	Line1	Line2	City	StateProvince	Country	MaritalStatus	Gender	YearlyIncome	TotalChildren	NumberChildrenAtHome	Education	Occupation	HouseOwnerFlag	NumberCarsOwned	CommuteDistance	Region	Age
AW00011000	2005-07-22	Jon	V	Yang	jon24@adventure-works.com	1 (11) 500 555-0162	3761 N. 14th St		Rockhampton	QLD	AU	M	M	90000	2	0	Bachelors	Professional	1	0	1-2 Miles	Pacific	52
AW00011001	2005-07-18	Eugene	L	Huang	eugene10@adventure-works.com	1 (11) 500 555-0110	2243 W St.		Seaford	VIC	AU	S	M	60000	3	3	Bachelors	Professional	0	1	0-1 Miles	Pacific	53
AW00011002	2005-07-10	Ruben		Torres	ruben35@adventure-works.com	1 (11) 500 555-0184	5844 Linden Land		Hobart	TAS	AU	M	M	60000	3	3	Bachelors	Professional	1	1	2-5 Miles	Pacific	53
AW00011003	2005-07-01	Christy		Zhu	christy12@adventure-works.com	1 (11) 500 555-0162	1825 Village Pl.		North Ryde	NSW	AU	S	F	70000	0	0	Bachelors	Professional	0	1	5-10 Miles	Pacific	50
AW00011004	2005-07-26	Elizabeth		Johnson	elizabeth5@adventure-works.com	1 (11) 500 555-0131	7553 Harness Circle		Wollongong	NSW	AU	S	F	80000	5	5	Bachelors	Professional	1	4	1-2 Miles	Pacific	50
AW00011005	2005-07-02	Julio		Ruiz	julio1@adventure-works.com	1 (11) 500 555-0151	7305 Humphrey Drive		East Brisbane	QLD	AU	S	M	70000	0	0	Bachelors	Professional	1	1	5-10 Miles	Pacific	53
AW00011006	2005-07-27	Janet	G	Alvarez	janet9@adventure-works.com	1 (11) 500 555-0184	2612 Berry Dr		Matraville	NSW	AU	S	F	70000	0	0	Bachelors	Professional	1	1	5-10 Miles	Pacific	52
AW00011007	2005-07-12	Marco		Mehta	marco14@adventure-works.com	1 (11) 500 555-0126	942 Brook Street		Warrnambool	VIC	AU	M	M	60000	3	3	Bachelors	Professional	1	2	0-1 Miles	Pacific	54
AW00011008	2005-07-28	Rob		Verhoff	rob4@adventure-works.com	1 (11) 500 555-0164	624 Peabody Road		Bendigo	VIC	AU	S	F	60000	4	4	Bachelors	Professional	1	3	10+ Miles	Pacific	54
AW00011009	2005-07-30	Shannon	C	Carlson	shannon38@adventure-works.com	1 (11) 500 555-0110	3839 Northgate Road		Hervey Bay	QLD	AU	S	M	70000	0	0	Bachelors	Professional	0	1	5-10 Miles	Pacific	54
AW00011010	2005-07-17	Jacquelyn	C	Suarez	jacquelyn20@adventure-works.com	1 (11) 500 555-0169	7800 Corrinne Court		East Brisbane	QLD	AU	S	F	70000	0	0	Bachelors	Professional	0	1	5-10 Miles	Pacific	54
AW00011011	2005-07-02	Curtis		Lu	curtis9@adventure-works.com	1 (11) 500 555-0117	1224 Shoenic		East Brisbane	QLD	AU	M	M	60000	4	4	Bachelors	Professional	1	4	10+ Miles	Pacific	55
AW00011012	2007-09-17	Lauren	M	Walker	lauren41@adventure-works.com	717-555-0164	4785 Scott Street		Bremerton	WA	US	M	F	100000	2	0	Bachelors	Management	1	2	1-2 Miles	North America	50
AW00011013	2007-10-15	Ian	M	Jenkins	ian47@adventure-works.com	817-555-0185	7902 Hudson Ave.		Lebanon	OR	US	M	M	100000	2	0	Bachelors	Management	1	3	0-1 Miles	North America	50
AW00011014	2007-09-24	Sydney		Bennett	sydney23@adventure-works.com	431-555-0156	9011 Tank Drive		Redmond	WA	US	S	F	100000	3	0	Bachelors	Management	0	3	1-2 Miles	North America	50
AW00011015	2007-07-22	Chloe		Young	chloe23@adventure-works.com	208-555-0142	244 Willow Pass Road		Burbank	CA	US	S	F	30000	0	0	Partial College	Skilled Manual	0	1	5-10 Miles	North America	39
AW00011016	2007-08-13	Wyatt	L	Hill	wyatt32@adventure-works.com	135-555-0171	9666 Northridge Ct.		Imperial Beach	CA	US	M	M	30000	0	0	Partial College	Skilled Manual	1	1	5-10 Miles	North America	39
AW00011017	2005-07-15	Shannon		Wang	shannon1@adventure-works.com	1 (11) 500 555-0195	7330 Saddlehill Lane		Sunbury	VIC	AU	S	F	20000	4	0	High School	Skilled Manual	1	2	5-10 Miles	Pacific	74
AW00011018	2005-07-20	Clarence	D	Rai	clarence32@adventure-works.com	1 (11) 500 555-0137	244 Rivewview		Bendigo	VIC	AU	S	M	30000	2	0	Partial College	Clerical	1	2	5-10 Miles	Pacific	74
AW00011019	2007-08-16	Luke	L	Lal	luke18@adventure-works.com	262-555-0112	7832 Landing Dr		Langley	BC	CA	S	M	40000	0	0	High School	Skilled Manual	0	2	5-10 Miles	North America	40
AW00011020	2007-07-02	Jordan	C	King	jordan73@adventure-works.com	550-555-0163	7156 Rose Dr.		Metchosin	BC	CA	S	M	40000	0	0	High School	Skilled Manual	0	2	1-2 Miles	North America	40
AW00011021	2007-07-27	Destiny		Wilson	destiny7@adventure-works.com	622-555-0158	8148 W. Lake Dr.		Beaverton	OR	US	S	F	40000	0	0	Partial College	Skilled Manual	0	1	1-2 Miles	North America	40
AW00011022	2007-07-24	Ethan	G	Zhang	ethan20@adventure-works.com	589-555-0185	1769 Nicholas Drive		Bellingham	WA	US	M	M	40000	0	0	Partial College	Skilled Manual	1	1	5-10 Miles	North America	40
AW00011023	2007-08-21	Seth	M	Edwards	seth46@adventure-works.com	452-555-0188	4499 Valley Crest		Bellflower	CA	US	M	M	40000	0	0	Partial College	Skilled Manual	1	1	1-2 Miles	North America	40
AW00011024	2007-12-29	Russell		Xie	russell7@adventure-works.com	746-555-0186	8734 Oxford Place		Concord	CA	US	M	M	60000	0	0	Partial College	Skilled Manual	1	2	5-10 Miles	North America	40
AW00011025	2005-07-09	Alejandro		Beck	alejandro45@adventure-works.com	1 (11) 500 555-0178	2596 Franklin Canyon Road		Hawthorne	QLD	AU	M	M	10000	2	1	Partial High School	Clerical	1	2	1-2 Miles	Pacific	72
